"OTU_Label","Term","Estimate","SE","z","p_raw","p_BH","lower","upper","sig_BH","CI_excl_zero","extreme_estimate","reliable","sig_any","predictor_type","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight"
"Navicula_ASV_10078","siteTBS",7.78048748762955,7.31838397976849,1.06314283442062,0.287717181871185,0.999999999999916,-6.56354511271668,22.1245200879758,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula",NA,0.112458696323662,1
"Electra_ASV_17846","siteTBS",0.450577004075602,0.770086785252194,0.585098994950347,0.558481154618333,0.999999999999916,-1.0587930950187,1.9599471031699,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Bryozoa","Bryozoa_X","Bryozoa_XX","Electra","Electra_pilosa",0.0774123423111302,0.688362437426214
"Ectocarpus_ASV_8433","siteTBS",2.33475308074637,1.03244031479755,2.26139278685974,0.023734945033752,0.292804929388342,0.311170063743179,4.35833609774956,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Ectocarpus",NA,0.0581452866569324,0.517036819363327
"Diplosoma_ASV_13104","siteTBS",2.78079366819584,102.521444538432,0.0271240195718605,0.978360816958578,0.999999999999916,-198.161237627131,203.722824963523,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Ascidiacea","Diplosoma",NA,0.050967855135091,0.453213995904799
"Phallusia_ASV_17107","siteTBS",-4.47280625553907,23.6710138029132,-0.188957105630542,0.850126435836615,0.999999999999916,-50.8679933092489,41.9223807981708,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Ascidiacea","Phallusia",NA,0.0448138041481988,0.398491229341859
"Tiaropsidium_ASV_16743","siteTBS",-6.35665146143947,1.2176294846244,-5.22051374552606,1.78427462579693e-07,1.29408928903953e-05,-8.74320525130329,-3.97009767157566,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Tiaropsidium","Tiaropsidium_kelseyi",0.0503690621976292,0.447889437137565
"Navicula_ASV_10098","siteTBS",8.89862839251504,14.9569247647554,0.594950401400949,0.551876625320097,0.999999999999916,-20.4169441464056,38.2142009314357,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_tripunctata",0.0405400798701084,0.360488616668932
"Costaria_ASV_10957","siteTBS",14.4423418325042,15.6934908134727,0.920275928673919,0.357428584765773,0.999999999999916,-16.3169001619023,45.2015838269108,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Costaria","Costaria_costata",0.0565788664698335,0.503107970476527
"Maxillopoda_ASV_13791","siteTBS",2.05791236688322,72.2118623008755,0.0284982591684008,0.977264756449035,0.999999999999916,-139.477337742833,143.593162476599,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.021971052235425,0.195369970964194
"Pterocystida_ASV_21672","siteTBS",8.52588946173865,12.0741668799748,0.70612652172954,0.480109459728708,0.999999999999916,-15.139477623012,32.1912565464893,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista",NA,NA,NA,0.0280856574842357,0.249741979965727
"Placuna_ASV_17776","siteTBS",0.472368225866884,48.6871938024472,0.00970210416693065,0.99225896232314,0.999999999999916,-94.9545316269297,95.8992680786635,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Pectinoida","Placuna","Placuna_placenta",0.0211661847962305,0.188212966077013
"Pterocystida_ASV_21674","siteTBS",1.26971616911959,0.762068160275772,1.66614514987755,0.0956845076429648,0.754501493958862,-0.223937425020925,2.7633697632601,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista",NA,NA,NA,0.0291470755984906,0.259180272858613
"Maxillopoda_ASV_13929","siteTBS",-8.00817523433519,7.89750711936808,-1.01401304402698,0.310576528159219,0.999999999999916,-23.4872891882966,7.47093871962626,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.0116499219993925,0.103592895705134
"Mediophyceae_ASV_10516","siteTBS",6.19037260198277,7.22629782751112,0.856645096803996,0.391641054551783,0.999999999999916,-7.97317113993902,20.3539163439046,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae",NA,NA,NA,NA,0.0213169025075548,0.189553171114519
"Grammonema_ASV_10016","siteTBS",11.4918993436312,41.2726514416982,0.278438601403271,0.780675690953493,0.999999999999916,-69.4024974820974,92.3862961693597,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Fragilariales","Fragilariaceae","Grammonema","Grammonema_striatula",0.0133326190424583,0.118555696253906
"OTU_ASV_33054","siteTBS",1.3426149227807,190.609043817057,0.00704381542393819,0.994379894898033,0.999999999999916,-372.251110958651,374.936340804213,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR",NA,NA,NA,NA,NA,NA,NA,0.00881307398992684,0.0783672074995638
"Harpacticus_ASV_13902","siteTBS",1.93946101045522,106.282805407261,0.0182481164570645,0.985440917633575,0.999999999999916,-206.374837587776,210.253759608687,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Harpacticus","Harpacticus_sp.",0.0109416791116519,0.0972950911698389
"Bacillariophyceae_ASV_10175","siteTBS",6.34168245973743,55.563394595742,0.1141341796317,0.909131427821487,0.999999999999916,-102.562570947917,115.245935867392,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.0127478678926634,0.113355999219255
"Ephelota_ASV_4004","siteTBS",-0.685037792990676,0.813646658573067,-0.841935237824317,0.39982420476637,0.999999999999916,-2.27978524379389,0.909709657812536,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA,0.0144076964004095,0.128115449239633
"Ephelota_ASV_4014","siteTBS",2.87777157208118,6.66770403644424,0.431598576714248,0.666033193073878,0.999999999999916,-10.1909283393495,15.9464714835119,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_mammillata",0.00801960351973601,0.0713115462111991
"Obelia_ASV_16795","siteTBS",-4.35317484311172,21.1611245002306,-0.205715667098139,0.837013019729793,0.999999999999916,-45.8289788635637,37.1226291773403,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Obelia","Obelia_longissima",0.00902310734379116,0.0802348563406977
"Maxillopoda_ASV_13865","siteTBS",0.597113948640568,0.709590049357644,0.841491434640474,0.400072681486428,0.999999999999916,-0.793682548100413,1.98791044538155,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.00845989483368111,0.0752266841981976
"Ephelota_ASV_662","siteTBS",-0.851556215044826,205.772349046818,-0.00413834132228852,0.996698090776294,0.999999999999916,-404.165360346809,402.462247916719,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA,0.00564256186461111,0.0501745267290982
"Caenogastropoda_ASV_13678","siteTBS",1.41996315203734,129.923613187238,0.010929215384358,0.991279921382437,0.999999999999916,-253.230318694949,256.070244999024,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Gastropoda","Caenogastropoda",NA,NA,0.00766976346525699,0.0682007147155878
"OTU_ASV_22251","siteTBS",3.35306097319098,107.149784868239,0.0312932123691541,0.975035703503428,0.999999999999916,-206.660517368557,213.366639314939,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,0.00948783170683053,0.0843672567528621
"Suctoria_XX_ASV_12412","siteTBS",7.95251670142721,11.3391036605564,0.701335567562577,0.483093622009115,0.999999999999916,-14.2721264732633,30.1771598761178,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Suctoria_X","Suctoria_XX","Suctoria_XX_sp.",0.00735987753851895,0.0654451614603183
"Telonema-Group-1_ASV_18184","siteTBS",3.94558479422326,0.824840901299921,4.78344949675162,1.72312200510338e-06,0.000109351973400792,2.32889662767541,5.5622729607711,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","TSAR","Telonemia","Telonemia_X","Telonemia_XX","Telonemia_XXX","Telonemia-Group-1","Telonema-Group-1","Telonema_subtile",0.0084712240926511,0.0753274257089953
"Naviculaceae_ASV_9847","siteTBS",5.75865226685582,19.6452771817835,0.293131637368582,0.769421535239113,0.999999999999916,-32.7460910094398,44.2633955431514,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA,0.00554069921849448,0.0492687484349638
"Heribaudiella_ASV_10928","siteTBS",2.69843398201217,0.993808154382628,2.71524636833805,0.00662264827613316,0.119751996225969,0.750569999422217,4.64629796460212,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Heribaudiella","Heribaudiella_fluviatilis",0.00678152252811873,0.0603023398795338
"Ephelota_ASV_1009","siteTBS",6.895755948672,26.0940836703077,0.264265112191643,0.791575641378129,0.999999999999916,-44.2486480451311,58.0401599424751,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_sp.",0.00667651400298658,0.0593685879460245
"Bacillariophyceae_ASV_6651","siteTBS",5.92541549267849,7.37481690761915,0.803466115417287,0.421705374166514,0.999999999999916,-8.52922564625505,20.380056631612,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.00501514365404532,0.0445954276369297
"Ephelota_ASV_2990","siteTBS",-6.82185692327633,44.4758535650793,-0.153383383936505,0.878095947530553,0.999999999999916,-93.9945299108317,80.350816064279,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_truncata",0.00534820198225588,0.0475570334450924
"Pseudovorticella_ASV_29499","siteTBS",13.0402420632121,11.2593001917545,1.15817518328198,0.246792553535339,0.999999999999916,-9.02798631262674,35.1084704390509,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella","Pseudovorticella_sinensis",0.00436710216526945,0.0388329431874322
"Hiatella_ASV_13195","siteTBS",1.832819943293,15.6221854170106,0.117321609900833,0.906605201060229,0.999999999999916,-28.7866634740477,32.4523033606337,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Heteroconchia","Hiatella","Hiatella_arctica",0.00404297266884858,0.0359507339229036
"Saccharina_ASV_10960","siteTBS",-0.984368035549237,0.711707639171599,-1.38310730610536,0.166631965799278,0.999999999999916,-2.37931500832557,0.410578937227096,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Saccharina","Saccharina_japonica",0.00450882815559207,0.0400931924607718
"Navicula_ASV_10502","siteTBS",6.38794683381455,9.54039472239815,0.669568400437086,0.503132963585641,0.999999999999916,-12.3112268220858,25.0871204897149,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_cryptotenella",0.00336920486167902,0.0299594870989993
"Spirotrichea_ASV_33143","siteTBS",3.73471394422567,1.81882916336197,2.05336159077323,0.0400375215315651,0.416138019068236,0.169808784036218,7.29961910441513,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA,NA,0.00681861766804703,0.0606321955611392
"Mytilus_ASV_18471","siteTBS",-3.76966819630692,22.0888784030343,-0.170659103985519,0.864491821286561,0.999999999999916,-47.0638698662542,39.5245334736403,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Mytiloida","Mytilus","Mytilus_trossulus",0.00296304175226016,0.0263478223483258
"Bacillariophyceae_ASV_9867","siteTBS",3.42066128633718,1.26956465253061,2.69435769144864,0.00705244354463412,0.124492743398782,0.932314567377177,5.90900800529717,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.00334743770392897,0.0297659301891148
"Phaeophyceae_XX_ASV_8454","siteTBS",8.10026853117616,1.99737577066693,4.05545548821364,5.00367007984028e-05,0.00235887303763899,4.18541202066897,12.0151250416834,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00373382110791964,0.0332017107611982
"Scytosiphon_ASV_8447","siteTBS",5.17065424275167,2.11706270447883,2.44237179740246,0.0145911110082182,0.209597154880239,1.02121134197316,9.32009714353017,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Scytosiphon","Scytosiphon_lomentaria",0.00354770353878193,0.0315467247510273
"Stypopodium_ASV_10934","siteTBS",-1.91893377278917,1.00275237378342,-1.91366664688009,0.0556627633243961,0.524071666107011,-3.88432842540467,0.0464608798263304,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Stypopodium","Stypopodium_sp.",0.00680035423025665,0.0604697942672649
"Desmarestia_ASV_10940","siteTBS",-2.80572309922863,19.7124330232663,-0.142332663650249,0.886817247299222,0.999999999999916,-41.4420918248306,35.8306456263733,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Desmarestia","Desmarestia_viridis",0.00292525304648449,0.0260117993726822
"Phaeophyceae_XX_ASV_8507","siteTBS",2.07655982998936,0.788896740887694,2.6322327401844,0.00848257319294423,0.143920264970262,0.530322217849479,3.62279744212924,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00250863460646396,0.0223071642164869
"Bacillariaceae_ASV_10168","siteTBS",5.73161059952869,11.8240716453477,0.484740855049186,0.627860181970556,0.999999999999916,-17.4435698253528,28.9067910244102,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA,0.00270556090161491,0.0240582630784565
"Disporella_ASV_17008","siteTBS",3.53098859235156,52.3530861296893,0.0674456627753439,0.946226918283698,0.999999999999916,-99.0810602218395,106.143037406543,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Bryozoa","Bryozoa_X","Bryozoa_XX","Disporella",NA,0.0016645260215797,0.0148012210348688
"Spirotrichea_ASV_29934","siteTBS",1.7388355256264,7.36133460368093,0.236211994052943,0.813268172925516,0.999999999999916,-12.6893802975882,16.167051348841,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA,0.00315739724426686,0.0280760612338926
"Pterocystidae_ASV_21676","siteTBS",2.39565336231032,1.01358109611541,2.36355371217138,0.0181006026099119,0.241341368132158,0.409034413924115,4.38227231069653,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista","Pterocystidae",NA,NA,0.00327480370100379,0.0291200574794033
"Prolecithophora_ASV_18418","siteTBS",-2.52692340666388,81.6161201984168,-0.0309610822043572,0.975300576684073,0.999999999999916,-162.494518995561,157.440672182233,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Prolecithophora",NA,NA,0.00306645042154101,0.0272673481178869
"Loxophyllum_ASV_32660","siteTBS",-3.72099365921969,16.4642060282513,-0.226005047120691,0.821197494850476,0.999999999999916,-35.9908374745922,28.5488501561528,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Haptoria_5","Pleurostomatida","Loxophyllum","Loxophyllum_perihoplophorum",0.00283555519255786,0.0252141922790656
"OTU_ASV_8306","siteTBS",3.39002920020635,0.868819887969067,3.90187799237746,9.54492673441273e-05,0.00409068288617688,1.68714221978698,5.09291618062572,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","TSAR","Stramenopiles",NA,NA,NA,NA,NA,NA,0.00291312161350915,0.0259039248074247
"Maxillopoda_ASV_13839","siteTBS",-1.67913218293507,4.2076035473021,-0.399070911519629,0.689840954943779,0.999999999999916,-9.92603513564718,6.56777076977704,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.00316166228077955,0.0281139865936212
"Phaeophyceae_XX_ASV_8499","siteTBS",-3.32078770704453,15.3540676441071,-0.216280648491154,0.828768992366402,0.999999999999916,-33.4147602894944,26.7731848754054,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00184068037343454,0.0163676125867311
"Dino-Group-I-Clade-1_X_ASV_25271","siteTBS",2.79321078257668,0.891067580151939,3.13467894556371,0.0017204228804455,0.0423686231751505,1.04671832547888,4.53970323967449,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00348889810434751,0.0310238177962359
"Pseudovorticella_ASV_29497","siteTBS",8.30044193083024,14.7491990590033,0.562772384969841,0.573589886859692,0.999999999999916,-20.6079882248163,37.2088720864768,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella",NA,0.00215489413827154,0.01916164964308
"Rhabdochona_ASV_27104","siteTBS",-8.71949626335971,35.7267177910633,-0.244060938213048,0.807183624648838,0.999999999999916,-78.7438631338438,61.3048706071244,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Rhabdochona","Rhabdochona_guerreroensis",0.00196686024170149,0.0174896233550562
"OTU_ASV_7470","siteTBS",5.33479412738825,180.110747772336,0.0296195212854902,0.976370496408868,0.999999999999916,-347.682271506389,358.351859761166,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.00251472334415135,0.0223613062071594
"Mediophyceae_ASV_9615","siteTBS",2.79074966667986,0.934513412449835,2.98631312242366,0.0028236335953046,0.0611015794393782,0.959103378278179,4.62239595508153,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales",NA,NA,NA,0.00325704671722593,0.0289621596523934
"Dino-Group-I-Clade-1_X_ASV_25263","siteTBS",2.14548138749431,0.774747685359401,2.76926466259661,0.00561829761377561,0.104930713428972,0.62697592418988,3.66398685079873,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00270911084007895,0.0240898296765062
"Dino-Group-I-Clade-1_X_ASV_21086","siteTBS",0.804804474142357,0.869921324061726,0.925146276889347,0.354889824068343,0.999999999999916,-0.900241321018626,2.50985026930334,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00273116514745217,0.0242859399649427
"Palmaria_ASV_24380","siteTBS",1.80784268240514,0.776076372181189,2.32946491763966,0.0198344494461391,0.257691666032516,0.286732992930012,3.32895237188027,FALSE,TRUE,FALSE,FALSE,FALSE,"site","Eukaryota","Archaeplastida","Rhodophyta","Eurhodophytina","Florideophyceae","Colaconematales","Colaconematales_X","Palmaria","Palmaria_palmata",0.00244980795997255,0.0217840686408269
"Pseudoscourfieldiaceae_X_ASV_25684","siteTBS",1.48812847747441,0.885714783645983,1.68014411066804,0.0929292802958032,0.740520230524181,-0.247872498471714,3.22412945342054,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Pseudoscourfieldiophyceae","Pseudoscourfieldiales","Pseudoscourfieldiaceae","Pseudoscourfieldiaceae_X","Pseudoscourfieldiaceae_X_sp.",0.00286185807493177,0.0254480815489377
"Ampullofolliculina_ASV_3619","siteTBS",4.78246512040298,17.1396531877645,0.279029281865343,0.780222353160856,0.999999999999916,-28.8112551276155,38.3761853684215,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Heterotrichea","Heterotrichea_X","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis",0.000991488175339134,0.00881646513565817
"Loxosomella_ASV_16675","siteTBS",2.98607000978212,157.768770461988,0.0189268763459215,0.984899439155296,0.999999999999916,-306.240720095715,312.212860115279,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Entoprocta","Entoprocta_X","Entoprocta_XX","Loxosomella","Loxosomella_sp.",0.00118692008507247,0.0105542756929749
"Naviculaceae_ASV_9674","siteTBS",3.36762293626749,1.04906922616832,3.21010554143085,0.00132686243839009,0.0350291683734984,1.31144725297759,5.42379861955739,TRUE,TRUE,FALSE,TRUE,TRUE,"site","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA,0.0015854641536791,0.0140981907625539
"Pterocystida_ASV_20844","siteTBS",0.610795802057636,0.67708079587778,0.902101796087406,0.367002794874465,0.999999999999916,-0.716282557862813,1.93787416197809,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista",NA,NA,NA,0.00193737675871285,0.0172274516960163
"Zoothamnium_2_ASV_2729","siteTBS",3.721390590139,14.0455150080849,0.264952234787894,0.791046258216949,0.999999999999916,-23.8078188257074,31.2506000059854,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Zoothamniidae","Zoothamnium_2","Zoothamnium_alternans",0.000950773601960625,0.00845442489591246
"Pterocystidae_ASV_21686","siteTBS",-4.42026776545499,61.3276339249161,-0.0720762808307061,0.942541202275783,0.999999999999916,-124.622430258291,115.781894727381,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista","Pterocystidae",NA,NA,0.00175312091293321,0.0155890204158836
"Oerstedia_ASV_17136","siteTBS",0.323492752554696,33.9326718411118,0.00953337108464184,0.992393585617704,0.999999999999916,-66.1845440560245,66.8315295611339,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nemertea","Nemertea_X","Nemertea_XX","Oerstedia","Oerstedia_dorsalis",0.00168591160888921,0.0149913849617914
"Maxillopoda_ASV_13792","siteTBS",0.0200405810104163,44.8234597161174,0.000447100271539508,0.999643265608093,0.999999999999916,-87.8339404625798,87.8740216246006,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.00149502333092751,0.0132939770760347
"Annelida_XX_ASV_18258","siteTBS",2.83189717431527,171.680324994477,0.0164951759871515,0.986839350570172,0.999999999999916,-333.66153981486,339.325334163491,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX",NA,NA,0.00112628840766457,0.0100151295051746
"Lichomolgus_ASV_17960","siteTBS",2.26920924099075,32.6048847374173,0.0695972170816054,0.944514252018501,0.999999999999916,-61.6363648443472,66.1747833263287,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Lichomolgus","Lichomolgus_marginatus",0.00151664240622693,0.0134862172140246
"Spirotrichea_ASV_29935","siteTBS",4.69500571008233,116.314858790017,0.0403646254564792,0.96780243204862,0.999999999999916,-223.282117518352,232.672128938517,FALSE,FALSE,FALSE,FALSE,FALSE,"site","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA,0.00156129370223282,0.0138832633960058
